 Betreute Kinder in der Kindertagesbetreuung seit 2007 nach Altersgruppen und Art der Betreuung 
Land Baden-Württemberg 
Art der Kindertagesbetreuung;Tageseinrichtung;Tagespflege1);Insgesamt2)
2007
Betreute Kinder insgesamt ;379.734;13.287;393.021
 davon im Alter von … bis unter ... Jahren 
 unter 3;26.978;6.049;33.027
 3 bis unter 6 ;281.627;3.031;284.658
 6 bis unter 14 ;71.129;4.207;75.336
Betreute Kinder mit Mittagsverpflegung;109.388; X; X
2008
Betreute Kinder insgesamt ;377.923;14.411;392.334
 davon im Alter von … bis unter ... Jahren 
 unter 3;32.289;6.293;38.582
 3 bis unter 6 ;278.195;3.498;281.693
 6 bis unter 14 ;67.439;4.620;72.059
Betreute Kinder mit Mittagsverpflegung;117.777; X; X
2009
Betreute Kinder insgesamt ;382.235;15.372;397.607
 davon im Alter von … bis unter ... Jahren 
 unter 3;37.538;6.934;44.472
 3 bis unter 6 ;275.629;3.655;279.284
 6 bis unter 14 ;69.068;4.783;73.851
Betreute Kinder mit Mittagsverpflegung;131.907;10.602;142.509
2010
Betreute Kinder insgesamt ;383.769;15.681;399.450
 davon im Alter von … bis unter ... Jahren 
 unter 3;43.711;7.246;50.957
 3 bis unter 6 ;270.256;3.709;273.965
 6 bis unter 14 ;69.802;4.726;74.528
Betreute Kinder mit Mittagsverpflegung;136.356;11.321;147.677
2011
Betreute Kinder insgesamt ;389.657;17.747;402.769
 davon im Alter von … bis unter ... Jahren 
 unter 3;49.392;8.067;57.007
 3 bis unter 6 ;268.595;4.340;270.061
 6 bis unter 14 ;71.670;5.340;75.701
Betreute Kinder mit Mittagsverpflegung;148.654;12.770;158.403
2012
Betreute Kinder insgesamt ;390.657;18.906;404.833
 davon im Alter von … bis unter ... Jahren 
 unter 3;54.272;8.884;62.732
 3 bis unter 6 ;266.339;4.509;267.898
 6 bis unter 14 ;70.046;5.513;74.203
Betreute Kinder mit Mittagsverpflegung;140.090;13.943;150.836
2013
Betreute Kinder insgesamt ;396.117;19.581;410.876
 davon im Alter von … bis unter ... Jahren 
 unter 3;58.805;9.562;67.948
 3 bis unter 6 ;266.521;4.487;267.779
 6 bis unter 14 ;70.791;5.532;75.149
Betreute Kinder mit Mittagsverpflegung;150.215;15.129;162.068
2014
Betreute Kinder insgesamt ;404.282;20.550;419.606
 davon im Alter von … bis unter ... Jahren 
 unter 3;66.465;10.330;76.295
 3 bis unter 6 ;265.770;4.505;266.968
 6 bis unter 14 ;72.047;5.715;76.343
Betreute Kinder mit Mittagsverpflegung;164.786;16.519;177.504
2015
Betreute Kinder insgesamt ;406.430;20.759;421.921
 davon im Alter von … bis unter ... Jahren 
 unter 3;68.909;10.267;78.729
 3 bis unter 6 ;266.753;4.554;267.898
 6 bis unter 14 ;70.768;5.938;75.294
Betreute Kinder mit Mittagsverpflegung;174.748;17.008;187.881
2016
Betreute Kinder insgesamt ;413.609;21.215;429.576
 davon im Alter von … bis unter ... Jahren 
 unter 3;71.936;11.124;82.534
 3 bis unter 6 ;271.115;4.180;272.009
 6 bis unter 14 ;70.558;5.911;75.033
Betreute Kinder mit Mittagsverpflegung;186.068;17.717;199.892
2017
Betreute Kinder insgesamt ;424.463;22.353;442.093
 davon im Alter von … bis unter ... Jahren 
 unter 3;76.748;12.980;89.320
 3 bis unter 6 ;275.844;3.913;276.887
 6 bis unter 14 ;71.871;5.460;75.886
Betreute Kinder mit Mittagsverpflegung;196.022;19.151;211.638
2018
Betreute Kinder insgesamt ;433.384;22.561;452.005
 davon im Alter von … bis unter ... Jahren 
 unter 3;79.807;13.948;93.412
 3 bis unter 6 ;283.269;3.586;284.363
 6 bis unter 14 ;70.308;5.027;74.230
Betreute Kinder mit Mittagsverpflegung;203.610;19.711;220.369
2019
Betreute Kinder insgesamt ;443.987;22.902;463.463
 davon im Alter von … bis unter ... Jahren 
 unter 3;81.695;15.041;96.465
 3 bis unter 6 ;291.235;3.390;292.464
 6 bis unter 14 ;71.057;4.471;74.534
Betreute Kinder mit Mittagsverpflegung;212.726;20.121;230.283
2020
Betreute Kinder insgesamt ;454.377;22.721;474.202
 davon im Alter von … bis unter ... Jahren 
 unter 3;83.100;15.655;98.546
 3 bis unter 6 ;299.649;3.144;300.937
 6 bis unter 14 ;71.628;3.922;74.719
Betreute Kinder mit Mittagsverpflegung;219.985;20.298;238.144
 1) Öffentlich gefördert. 
2) Ohne Doppelzählungen. 
Datenquelle: Statistik der Kinder- und Jugendhilfe. 
